"x"	"y"
619821	141086
620821	141086
621821	141086
622821	141086
623821	141086
624821	141086
625821	141086
626821	141086
627821	141086
628821	141086
629821	141086
630821	141086
554821	142086
555821	142086
556821	142086
557821	142086
558821	142086
559821	142086
560821	142086
561821	142086
562821	142086
563821	142086
564821	142086
565821	142086
566821	142086
567821	142086
568821	142086
569821	142086
570821	142086
571821	142086
572821	142086
573821	142086
574821	142086
575821	142086
576821	142086
577821	142086
578821	142086
579821	142086
580821	142086
581821	142086
582821	142086
583821	142086
584821	142086
585821	142086
586821	142086
587821	142086
588821	142086
589821	142086
590821	142086
591821	142086
592821	142086
593821	142086
594821	142086
595821	142086
596821	142086
597821	142086
598821	142086
599821	142086
600821	142086
601821	142086
602821	142086
603821	142086
604821	142086
605821	142086
606821	142086
607821	142086
608821	142086
609821	142086
610821	142086
611821	142086
612821	142086
613821	142086
614821	142086
615821	142086
616821	142086
617821	142086
618821	142086
619821	142086
620821	142086
621821	142086
622821	142086
623821	142086
624821	142086
625821	142086
626821	142086
627821	142086
628821	142086
629821	142086
630821	142086
554821	143086
555821	143086
556821	143086
557821	143086
558821	143086
559821	143086
560821	143086
561821	143086
562821	143086
563821	143086
564821	143086
565821	143086
566821	143086
567821	143086
568821	143086
569821	143086
570821	143086
571821	143086
572821	143086
573821	143086
574821	143086
575821	143086
576821	143086
577821	143086
578821	143086
579821	143086
580821	143086
581821	143086
582821	143086
583821	143086
584821	143086
585821	143086
586821	143086
587821	143086
588821	143086
589821	143086
590821	143086
591821	143086
592821	143086
593821	143086
594821	143086
595821	143086
596821	143086
597821	143086
598821	143086
599821	143086
600821	143086
601821	143086
602821	143086
603821	143086
604821	143086
605821	143086
606821	143086
607821	143086
608821	143086
609821	143086
610821	143086
611821	143086
612821	143086
613821	143086
614821	143086
615821	143086
616821	143086
617821	143086
618821	143086
619821	143086
620821	143086
621821	143086
622821	143086
623821	143086
624821	143086
625821	143086
626821	143086
627821	143086
628821	143086
629821	143086
630821	143086
554821	144086
555821	144086
556821	144086
557821	144086
558821	144086
559821	144086
560821	144086
561821	144086
562821	144086
563821	144086
564821	144086
565821	144086
566821	144086
567821	144086
568821	144086
569821	144086
570821	144086
571821	144086
572821	144086
573821	144086
574821	144086
575821	144086
576821	144086
577821	144086
578821	144086
579821	144086
580821	144086
581821	144086
582821	144086
583821	144086
584821	144086
585821	144086
586821	144086
587821	144086
588821	144086
589821	144086
590821	144086
591821	144086
592821	144086
593821	144086
594821	144086
595821	144086
596821	144086
597821	144086
598821	144086
599821	144086
600821	144086
601821	144086
602821	144086
603821	144086
604821	144086
605821	144086
606821	144086
607821	144086
608821	144086
609821	144086
610821	144086
611821	144086
612821	144086
613821	144086
614821	144086
615821	144086
616821	144086
617821	144086
618821	144086
619821	144086
620821	144086
621821	144086
622821	144086
623821	144086
624821	144086
625821	144086
626821	144086
627821	144086
628821	144086
629821	144086
630821	144086
554821	145086
555821	145086
556821	145086
557821	145086
558821	145086
559821	145086
560821	145086
561821	145086
